income,investment_percentage,goal,risk,return_rate,Goal_Feasibility,Duration_to_Achieve_Goal,Type_of_Goal
825948,30,long,low,2.130602955,Not Feasible,8,Start a business
721886,16,long,low,3.372235522,Not Feasible,11,Buy a car
151521,5,short,low,3.570609083,Not Feasible,13,Buy a laptop
584578,12,short,high,10.3988767,Not Feasible,12,Purchase a smartphone
923120,37,long,medium,7.377346993,Not Feasible,7,Start a business
883093,8,short,high,13.90275181,Not Feasible,8,Buy a laptop
345098,18,long,low,3.647296067,Not Feasible,14,Save for a house down payment
819178,33,medium,high,12.38876556,Not Feasible,12,Take a professional certification course
602278,18,long,low,2.214376789,Not Feasible,12,Build a retirement fund
593098,13,medium,low,4.94164158,Not Feasible,11,Travel abroad for holiday
652650,13,medium,medium,7.705984184,Not Feasible,13,Save for higher education
486513,30,medium,high,12.24719173,Not Feasible,8,Take a professional certification course
156295,46,short,low,2.221250359,Not Feasible,8,Buy a laptop
475453,21,short,high,13.68320264,Not Feasible,9,Upgrade clothing
667957,45,long,medium,6.37813895,Not Feasible,9,Save for a house down payment
731037,8,medium,low,2.24077424,Not Feasible,14,Travel abroad for holiday
274803,7,long,low,4.160151774,Not Feasible,12,Start a business
96516,33,medium,high,12.40355981,Not Feasible,12,Buy home appliances
84567,29,medium,high,10.28167831,Not Feasible,10,Travel abroad for holiday
811469,25,long,high,14.24850176,Not Feasible,9,Buy a car
136498,16,long,medium,7.236933385,Not Feasible,12,Invest in a property
712098,5,long,medium,5.719695403,Not Feasible,14,Build a retirement fund
474894,5,long,low,3.015976252,Not Feasible,8,Buy a car
546397,49,short,high,10.14371619,Not Feasible,7,Purchase a smartphone
294154,11,medium,medium,9.900330184,Not Feasible,14,Travel abroad for holiday
805219,14,medium,high,13.74896556,Not Feasible,9,Save for higher education
773760,19,short,high,10.24430477,Not Feasible,9,Buy fancy shoes
149544,44,medium,medium,6.201514934,Not Feasible,13,Take a professional certification course
256183,15,short,high,12.38178094,Not Feasible,14,Upgrade clothing
688743,49,medium,low,4.151037862,Not Feasible,7,Take a professional certification course
333853,27,short,low,3.905125388,Not Feasible,10,Go on a vacation
473001,17,short,high,12.20612809,Not Feasible,14,Upgrade clothing
778613,31,medium,medium,7.733520397,Not Feasible,10,Take a professional certification course
44518,45,medium,high,10.21556641,Not Feasible,12,Travel abroad for holiday
63909,21,medium,low,4.996833573,Not Feasible,14,Take a professional certification course
814783,17,long,high,14.33521062,Not Feasible,12,Save for children's education
734984,16,medium,medium,6.613946421,Not Feasible,11,Build an emergency fund
980834,33,medium,medium,5.538752345,Not Feasible,9,Buy home appliances
525693,25,medium,medium,8.142660034,Not Feasible,13,Save for higher education
549570,24,long,medium,9.582332338,Not Feasible,14,Build a retirement fund
488082,24,medium,low,4.054410675,Not Feasible,10,Travel abroad for holiday
249017,35,short,high,10.34052386,Not Feasible,11,Upgrade clothing
424994,12,short,low,3.138288963,Not Feasible,10,Purchase a smartphone
951768,28,long,medium,8.59276997,Not Feasible,7,Buy a car
462891,15,long,high,11.21041347,Not Feasible,8,Save for children's education
801507,43,long,high,13.2143317,Not Feasible,7,Buy a car
479164,37,long,medium,7.92133107,Not Feasible,14,Start a business
713814,46,long,high,10.48142811,Not Feasible,7,Start a business
38365,19,medium,medium,8.686461979,Not Feasible,7,Buy a motorcycle
475982,8,short,high,12.18749159,Not Feasible,7,Purchase a smartphone
451416,5,short,medium,5.804087735,Not Feasible,8,Purchase a smartphone
283146,36,medium,low,4.780732564,Not Feasible,8,Buy home appliances
286091,15,long,high,13.7270248,Not Feasible,12,Build a retirement fund
220294,34,medium,low,4.170658113,Not Feasible,11,Build an emergency fund
891272,41,long,low,3.340897645,Not Feasible,14,Build a retirement fund
126219,23,short,low,3.931487269,Not Feasible,12,Upgrade clothing
350754,40,short,low,3.922157563,Not Feasible,12,Upgrade clothing
848574,38,long,low,2.410849544,Not Feasible,10,Start a business
590595,11,medium,high,14.39934865,Not Feasible,9,Buy home appliances
145565,49,long,high,14.0865324,Not Feasible,8,Buy a car
789383,24,long,high,10.68672988,Not Feasible,14,Save for a house down payment
322229,16,short,low,2.968470761,Not Feasible,10,Go on a vacation
568516,36,long,medium,5.34516088,Not Feasible,14,Build a retirement fund
745036,6,medium,medium,6.725840788,Not Feasible,11,Buy home appliances
979379,26,long,high,13.6492453,Not Feasible,13,Build a retirement fund
434871,45,short,low,2.010749994,Not Feasible,14,Buy a laptop
577760,44,medium,high,12.53391235,Not Feasible,14,Build an emergency fund
845869,28,medium,low,4.601701078,Not Feasible,14,Save for higher education
976920,35,short,medium,6.556288566,Not Feasible,12,Purchase a smartphone
856143,8,short,medium,8.620863186,Not Feasible,13,Upgrade clothing
147888,28,long,low,2.163965039,Not Feasible,10,Save for children's education
87175,47,short,medium,7.785967367,Not Feasible,13,Buy fancy shoes
598595,21,short,low,4.630743796,Not Feasible,9,Buy a laptop
318877,44,short,high,12.03937707,Not Feasible,14,Buy fancy shoes
924634,23,short,low,3.868449558,Not Feasible,7,Pay off a small loan
105028,44,medium,low,3.902423372,Not Feasible,9,Take a professional certification course
519666,42,medium,medium,8.659637024,Not Feasible,9,Buy home appliances
152312,38,medium,low,2.685246145,Not Feasible,8,Buy home appliances
501450,37,short,medium,8.739560545,Not Feasible,8,Buy a laptop
102493,10,long,low,2.712712545,Not Feasible,14,Invest in a property
135149,40,long,medium,7.989563078,Not Feasible,13,Build a retirement fund
763704,17,long,low,2.480311773,Not Feasible,9,Save for children's education
212435,13,long,low,4.208774619,Not Feasible,7,Start a business
173834,39,medium,low,2.862049711,Not Feasible,7,Buy home appliances
280403,38,long,low,3.954164401,Not Feasible,8,Build a retirement fund
191211,20,medium,high,10.78085084,Not Feasible,14,Take a professional certification course
925207,22,long,high,11.15550836,Not Feasible,12,Start a business
286993,22,long,medium,9.08614604,Not Feasible,7,Save for children's education
353912,42,medium,high,10.465245,Not Feasible,9,Buy a motorcycle
378252,47,medium,high,10.48822239,Not Feasible,9,Buy home appliances
886141,36,long,medium,8.869941875,Not Feasible,11,Save for a house down payment
327013,11,short,high,10.61664974,Not Feasible,11,Buy a laptop
923320,27,long,medium,9.474999407,Not Feasible,9,Invest in a property
73095,27,long,high,10.69631085,Not Feasible,9,Invest in a property
127886,22,long,medium,8.40762128,Not Feasible,8,Invest in a property
867342,11,medium,medium,7.99251377,Not Feasible,13,Save for higher education
489926,46,long,high,13.63950285,Not Feasible,10,Save for children's education
295711,44,short,medium,8.475293112,Not Feasible,11,Go on a vacation
45292,28,long,low,3.096797931,Not Feasible,7,Start a business
84813,18,short,high,14.73071919,Not Feasible,12,Upgrade clothing
631424,9,short,low,3.52504816,Not Feasible,13,Pay off a small loan
585919,26,short,high,14.85938557,Not Feasible,9,Pay off a small loan
19885,26,long,high,11.90510498,Not Feasible,13,Save for children's education
987163,14,medium,medium,7.63620752,Not Feasible,10,Build an emergency fund
195378,30,medium,medium,7.920565033,Not Feasible,10,Save for higher education
862746,19,long,medium,7.816259144,Not Feasible,11,Invest in a property
337231,42,long,high,13.30858755,Not Feasible,13,Buy a car
432381,45,short,medium,6.431654917,Not Feasible,14,Buy fancy shoes
986433,46,long,low,2.194829147,Not Feasible,8,Buy a car
470244,5,medium,low,2.595337368,Not Feasible,9,Buy a motorcycle
892430,18,long,high,12.80113916,Not Feasible,9,Save for a house down payment
584100,40,long,high,14.28840791,Not Feasible,13,Build a retirement fund
715860,35,long,medium,7.375208709,Not Feasible,14,Save for a house down payment
482367,32,short,low,2.963449717,Not Feasible,10,Buy a laptop
330787,38,long,medium,8.656230984,Not Feasible,8,Build a retirement fund
54900,39,long,medium,6.976362015,Not Feasible,14,Save for children's education
446162,43,long,medium,9.109978046,Not Feasible,10,Save for a house down payment
411067,27,medium,medium,5.059340244,Not Feasible,14,Build an emergency fund
812720,48,short,low,2.348247823,Not Feasible,12,Pay off a small loan
82692,23,short,medium,5.512971421,Not Feasible,13,Pay off a small loan
470796,22,medium,low,2.104883883,Not Feasible,14,Save for higher education
410584,19,short,low,2.504222868,Not Feasible,7,Purchase a smartphone
881868,5,medium,high,14.93517375,Not Feasible,7,Buy home appliances
761496,29,short,medium,7.407575286,Not Feasible,9,Go on a vacation
56403,30,short,high,12.11137932,Not Feasible,14,Go on a vacation
625458,39,short,high,14.55098361,Not Feasible,11,Go on a vacation
805600,19,long,high,13.97468889,Not Feasible,14,Build a retirement fund
322023,8,short,low,2.816556482,Not Feasible,10,Purchase a smartphone
69871,19,long,medium,9.022024399,Not Feasible,14,Save for a house down payment
492604,46,long,high,10.41334945,Not Feasible,9,Invest in a property
501862,42,long,low,4.147472192,Not Feasible,7,Buy a car
42174,49,medium,high,10.09213639,Not Feasible,14,Buy home appliances
765111,43,short,low,2.630565117,Not Feasible,10,Buy fancy shoes
233563,5,short,low,4.662360447,Not Feasible,9,Purchase a smartphone
147653,26,short,low,3.120365546,Not Feasible,11,Buy a laptop
120155,15,long,low,3.409649411,Not Feasible,9,Save for a house down payment
343997,42,short,medium,8.234471597,Not Feasible,7,Buy fancy shoes
860478,41,long,low,4.081680271,Not Feasible,8,Invest in a property
321822,30,long,high,10.72774842,Not Feasible,13,Buy a car
511608,31,long,medium,9.638568099,Not Feasible,12,Start a business
823081,17,long,high,12.84114016,Not Feasible,12,Invest in a property
137795,11,short,medium,7.993948919,Not Feasible,9,Purchase a smartphone
98668,12,long,high,13.20379956,Not Feasible,8,Invest in a property
747685,27,medium,high,14.26498647,Not Feasible,12,Travel abroad for holiday
679927,30,medium,low,2.630997606,Not Feasible,8,Travel abroad for holiday
483620,48,medium,high,14.55689831,Not Feasible,14,Travel abroad for holiday
886338,31,long,medium,8.90381974,Not Feasible,12,Save for children's education
773429,13,short,high,11.11928753,Not Feasible,12,Pay off a small loan
630307,42,short,low,4.396379097,Not Feasible,13,Buy fancy shoes
989448,17,long,low,3.512992684,Not Feasible,9,Buy a car
874434,11,long,medium,7.877847591,Not Feasible,7,Save for children's education
563091,15,long,high,14.96266616,Not Feasible,8,Save for a house down payment
683590,14,medium,low,2.039417682,Not Feasible,8,Build an emergency fund
683222,37,long,medium,9.681011395,Not Feasible,9,Save for children's education
446571,43,long,medium,8.62744663,Not Feasible,14,Invest in a property
958763,7,short,low,3.045470109,Not Feasible,7,Purchase a smartphone
240147,45,short,medium,8.646271772,Not Feasible,12,Buy fancy shoes
565083,33,medium,high,11.01324189,Not Feasible,10,Buy home appliances
517820,41,medium,high,12.56714763,Not Feasible,12,Travel abroad for holiday
280914,49,medium,high,14.0798997,Not Feasible,10,Buy a motorcycle
545381,20,medium,medium,6.047176545,Not Feasible,11,Build an emergency fund
974075,20,long,medium,7.802855732,Not Feasible,9,Save for children's education
403409,48,long,high,10.21209525,Not Feasible,8,Start a business
372455,47,medium,high,14.18357171,Not Feasible,7,Save for higher education
289713,11,medium,low,3.051069735,Not Feasible,8,Buy home appliances
807622,19,short,high,11.638302,Not Feasible,10,Buy fancy shoes
859256,42,short,medium,6.281096778,Not Feasible,7,Buy a laptop
708112,10,short,low,4.157170573,Not Feasible,7,Buy fancy shoes
697687,22,medium,medium,5.87114605,Not Feasible,13,Buy a motorcycle
314214,23,short,medium,5.169579162,Not Feasible,14,Go on a vacation
574485,6,medium,high,11.39195948,Not Feasible,12,Take a professional certification course
536549,7,long,low,3.988550531,Not Feasible,9,Build a retirement fund
167584,29,medium,medium,5.25114883,Not Feasible,13,Buy a motorcycle
934220,40,long,medium,7.135829529,Not Feasible,9,Invest in a property
358939,32,long,high,14.03349125,Not Feasible,11,Start a business
301077,42,medium,medium,7.13435391,Not Feasible,12,Save for higher education
669738,32,short,medium,7.76221394,Not Feasible,9,Buy fancy shoes
574871,36,medium,high,12.13735143,Not Feasible,8,Buy a motorcycle
384226,45,short,high,10.86988094,Not Feasible,12,Buy fancy shoes
881803,40,long,high,14.85380259,Not Feasible,7,Save for children's education
694393,43,long,medium,5.951709489,Not Feasible,13,Build a retirement fund
427216,40,long,low,3.860931633,Not Feasible,8,Buy a car
121032,47,long,medium,6.363223352,Not Feasible,11,Save for children's education
216940,27,medium,low,4.469832192,Not Feasible,7,Take a professional certification course
314748,6,long,medium,8.969761712,Not Feasible,11,Save for a house down payment
471552,14,short,medium,7.279629236,Not Feasible,7,Buy fancy shoes
891506,10,short,low,2.568637761,Not Feasible,9,Purchase a smartphone
236727,12,long,medium,5.240250713,Not Feasible,9,Save for a house down payment
83869,19,medium,medium,7.383552986,Not Feasible,12,Build an emergency fund
801842,49,long,medium,5.82059761,Not Feasible,14,Invest in a property
879807,33,long,medium,9.746117454,Not Feasible,10,Save for a house down payment
721404,32,short,medium,5.683259653,Not Feasible,12,Buy a laptop
728675,26,medium,low,2.70694931,Not Feasible,10,Save for higher education
892487,38,medium,medium,8.841501306,Not Feasible,10,Buy home appliances
212416,24,short,low,3.293418658,Not Feasible,10,Pay off a small loan
934300,37,short,medium,6.78924979,Not Feasible,9,Go on a vacation
621004,19,short,high,11.81360203,Not Feasible,11,Pay off a small loan
588533,11,medium,medium,7.647665399,Not Feasible,8,Travel abroad for holiday
577344,28,short,high,12.67552292,Not Feasible,10,Go on a vacation
420925,30,short,low,2.971999606,Not Feasible,11,Purchase a smartphone
785024,14,short,medium,8.470679062,Not Feasible,10,Purchase a smartphone
330701,19,long,high,11.43298442,Not Feasible,10,Invest in a property
289687,41,medium,high,11.19897704,Not Feasible,9,Buy a motorcycle
440634,28,medium,high,14.33630684,Not Feasible,14,Take a professional certification course
759971,15,long,medium,5.559149638,Not Feasible,13,Build a retirement fund
506507,44,medium,medium,9.849131207,Not Feasible,12,Take a professional certification course
892470,25,short,high,12.82895594,Not Feasible,11,Upgrade clothing
419940,44,long,low,4.782632644,Not Feasible,10,Save for a house down payment
275972,42,short,high,14.91028159,Not Feasible,13,Buy fancy shoes
126656,19,short,low,3.249381083,Not Feasible,9,Go on a vacation
27087,19,short,medium,5.965841553,Not Feasible,7,Upgrade clothing
940109,41,short,medium,9.684802973,Not Feasible,10,Buy a laptop
303481,49,medium,medium,9.249026677,Not Feasible,7,Take a professional certification course
146554,18,long,low,2.542251231,Not Feasible,8,Build a retirement fund
861765,47,long,medium,5.757734163,Not Feasible,9,Save for children's education
495757,25,short,high,14.95290795,Not Feasible,7,Pay off a small loan
192024,48,long,high,12.89112777,Not Feasible,11,Buy a car
146535,24,long,high,12.26911343,Not Feasible,11,Save for a house down payment
777524,37,short,medium,8.121702743,Not Feasible,12,Upgrade clothing
604736,7,short,high,14.17490003,Not Feasible,9,Pay off a small loan
538936,44,medium,low,2.043464714,Not Feasible,13,Travel abroad for holiday
402720,27,medium,low,2.302737306,Not Feasible,8,Buy home appliances
305767,48,short,low,4.050084385,Not Feasible,10,Buy fancy shoes
462372,27,medium,low,4.03713987,Not Feasible,7,Buy home appliances
45634,31,medium,high,14.92665347,Not Feasible,14,Travel abroad for holiday
972106,39,long,low,2.080563006,Not Feasible,11,Build a retirement fund
386742,29,short,high,10.39559556,Not Feasible,7,Upgrade clothing
321478,36,long,medium,7.401209225,Not Feasible,11,Save for a house down payment
865080,26,long,high,13.29130119,Not Feasible,11,Save for a house down payment
556342,12,short,high,11.2923479,Not Feasible,14,Go on a vacation
604316,42,long,high,11.28111046,Not Feasible,7,Buy a car
556495,22,medium,high,10.19457939,Not Feasible,12,Travel abroad for holiday
483866,32,medium,medium,5.231628898,Not Feasible,9,Save for higher education
765181,32,medium,high,10.44886273,Not Feasible,9,Take a professional certification course
615842,15,medium,low,2.207498904,Not Feasible,13,Save for higher education
686746,16,medium,high,14.40097238,Not Feasible,13,Buy home appliances
617564,6,long,medium,7.036025787,Not Feasible,7,Build a retirement fund
987022,41,short,low,4.275684922,Not Feasible,10,Purchase a smartphone
324925,8,long,low,2.381806653,Not Feasible,8,Start a business
718140,45,long,medium,5.055146123,Not Feasible,12,Build a retirement fund
202512,49,medium,high,14.99124701,Not Feasible,9,Buy home appliances
971703,49,medium,high,13.98526617,Feasible,13,Save for higher education
857467,38,long,high,14.16294924,Not Feasible,11,Save for a house down payment
542498,27,long,medium,8.010886938,Not Feasible,11,Build a retirement fund
578651,17,short,medium,5.986885403,Not Feasible,10,Purchase a smartphone
776535,11,short,low,2.071178323,Not Feasible,7,Upgrade clothing
612567,36,short,high,13.7338639,Not Feasible,10,Go on a vacation
201420,27,short,high,14.05605497,Not Feasible,7,Buy fancy shoes
720644,12,short,medium,7.40528761,Not Feasible,14,Go on a vacation
510844,41,medium,medium,8.109759385,Not Feasible,11,Save for higher education
213196,38,short,low,4.935619735,Not Feasible,12,Purchase a smartphone
209919,33,long,high,11.68735315,Not Feasible,13,Build a retirement fund
425648,41,medium,low,4.549929731,Not Feasible,10,Save for higher education
267324,27,long,low,4.618754084,Not Feasible,12,Start a business
729449,42,medium,medium,5.416834922,Not Feasible,13,Travel abroad for holiday
982902,33,medium,high,12.37575052,Not Feasible,9,Save for higher education
764651,48,short,low,3.738583888,Not Feasible,7,Buy a laptop
668681,9,long,high,10.72321727,Not Feasible,7,Start a business
877780,44,short,medium,7.056221655,Not Feasible,9,Go on a vacation
440599,15,long,low,3.359002244,Not Feasible,13,Buy a car
385960,18,long,high,11.38870654,Not Feasible,11,Save for children's education
744042,46,short,high,10.45106346,Not Feasible,8,Buy a laptop
657341,6,short,high,11.74264359,Not Feasible,11,Upgrade clothing
482406,39,medium,medium,8.05706477,Not Feasible,9,Travel abroad for holiday
193965,49,medium,low,3.114412225,Not Feasible,9,Buy home appliances
176892,39,medium,low,2.705266536,Not Feasible,7,Take a professional certification course
862694,46,long,high,10.99191744,Not Feasible,10,Save for children's education
144832,32,short,low,3.222065813,Not Feasible,11,Purchase a smartphone
163262,12,medium,medium,9.840488973,Not Feasible,7,Buy a motorcycle
77411,36,short,high,13.15326764,Not Feasible,8,Buy a laptop
295521,8,medium,high,10.52788767,Not Feasible,9,Take a professional certification course
449953,49,medium,medium,5.690105007,Not Feasible,14,Buy a motorcycle
997073,11,short,high,12.97702288,Not Feasible,7,Upgrade clothing
48211,43,medium,low,2.744532917,Not Feasible,12,Save for higher education
223981,31,short,low,4.498300889,Not Feasible,12,Pay off a small loan
275888,41,medium,medium,5.346883623,Not Feasible,11,Take a professional certification course
790926,21,short,medium,6.181271471,Not Feasible,10,Upgrade clothing
297139,14,medium,low,3.904259034,Not Feasible,9,Buy a motorcycle
682337,8,medium,high,13.28322601,Not Feasible,10,Build an emergency fund
763298,27,long,medium,8.567618061,Not Feasible,12,Save for children's education
568830,18,short,low,4.600489095,Not Feasible,11,Buy a laptop
20651,9,medium,low,4.906833171,Not Feasible,12,Buy a motorcycle
109239,6,long,medium,6.004480009,Not Feasible,9,Start a business
875363,28,short,high,11.29486642,Not Feasible,10,Buy a laptop
760704,22,medium,low,3.183130676,Not Feasible,12,Build an emergency fund
898544,31,medium,high,11.91414374,Not Feasible,12,Buy home appliances
813147,28,medium,low,3.060294234,Not Feasible,9,Take a professional certification course
447625,33,short,medium,5.310956687,Not Feasible,12,Buy a laptop
165378,15,long,low,4.588285437,Not Feasible,8,Save for a house down payment
160158,22,medium,high,13.31719187,Not Feasible,13,Build an emergency fund
417592,8,long,low,4.361937216,Not Feasible,9,Build a retirement fund
333494,37,short,low,4.999274805,Not Feasible,12,Buy fancy shoes
343569,18,short,medium,7.447233999,Not Feasible,12,Go on a vacation
506574,48,medium,high,10.66541592,Not Feasible,9,Take a professional certification course
439852,46,medium,high,14.16521856,Not Feasible,9,Buy home appliances
882552,36,medium,high,13.71287741,Not Feasible,9,Build an emergency fund
911321,8,long,medium,8.840929849,Not Feasible,12,Build a retirement fund
454865,24,long,high,10.80521814,Not Feasible,8,Invest in a property
437826,25,medium,low,4.263909954,Not Feasible,8,Buy home appliances
675418,7,short,high,12.96266362,Not Feasible,9,Upgrade clothing
265948,29,short,low,2.1517849,Not Feasible,9,Purchase a smartphone
531481,8,medium,low,2.876413177,Not Feasible,11,Save for higher education
871069,15,long,low,2.660905083,Not Feasible,11,Build a retirement fund
481249,20,short,medium,6.455683061,Not Feasible,11,Buy a laptop
866626,40,long,medium,5.998942849,Not Feasible,9,Build a retirement fund
873349,10,medium,medium,6.989284182,Not Feasible,11,Buy home appliances
74200,35,long,medium,6.085051976,Not Feasible,7,Save for children's education
115848,44,long,low,3.188312997,Not Feasible,12,Save for children's education
116022,17,long,low,2.049764248,Not Feasible,8,Save for children's education
711979,27,short,high,13.67966558,Not Feasible,10,Buy fancy shoes
944658,8,long,medium,6.735270026,Not Feasible,9,Save for children's education
422755,41,long,high,11.43768643,Not Feasible,14,Build a retirement fund
790741,46,long,medium,9.294535506,Not Feasible,8,Build a retirement fund
856490,41,medium,medium,8.743450214,Not Feasible,8,Build an emergency fund
72068,48,long,high,14.31549035,Not Feasible,10,Save for children's education
480529,37,long,medium,9.364490686,Not Feasible,10,Start a business
896364,46,short,high,13.64830748,Not Feasible,12,Go on a vacation
171445,33,medium,low,2.172695395,Not Feasible,7,Take a professional certification course
698514,41,long,low,2.286928391,Not Feasible,7,Invest in a property
147103,23,short,high,10.36664748,Not Feasible,7,Buy fancy shoes
234605,24,short,high,11.23970237,Not Feasible,12,Go on a vacation
213047,36,long,low,4.591547914,Not Feasible,10,Invest in a property
819217,48,short,low,2.114862984,Not Feasible,11,Buy a laptop
259768,20,short,medium,5.28289461,Not Feasible,12,Upgrade clothing
694029,9,short,medium,5.58805088,Not Feasible,9,Upgrade clothing
104475,16,short,low,3.735050769,Not Feasible,8,Pay off a small loan
520370,49,long,medium,6.595764466,Not Feasible,7,Build a retirement fund
536570,25,long,high,14.70406528,Not Feasible,11,Save for a house down payment
699984,18,short,high,10.67659214,Not Feasible,11,Upgrade clothing
713798,41,long,low,4.413742132,Not Feasible,12,Save for children's education
230972,26,long,high,13.2242775,Not Feasible,10,Buy a car
863966,34,short,medium,8.26582093,Not Feasible,12,Pay off a small loan
172777,27,short,medium,6.75888318,Not Feasible,8,Pay off a small loan
965748,9,short,low,2.013578821,Not Feasible,13,Pay off a small loan
871396,33,long,medium,6.832593514,Not Feasible,11,Save for children's education
702797,34,long,low,3.804135201,Not Feasible,14,Build a retirement fund
218944,22,medium,medium,8.686752083,Not Feasible,9,Take a professional certification course
653294,5,medium,medium,7.765104623,Not Feasible,12,Save for higher education
246440,43,short,medium,9.905377638,Not Feasible,13,Buy fancy shoes
738342,21,medium,low,3.759653669,Not Feasible,7,Buy home appliances
322727,7,long,low,2.249188464,Not Feasible,7,Save for children's education
834824,46,medium,medium,9.275007097,Not Feasible,10,Save for higher education
17461,11,medium,medium,8.263975264,Not Feasible,12,Save for higher education
634411,31,short,medium,7.585471762,Not Feasible,11,Purchase a smartphone
806948,32,long,high,13.89560337,Not Feasible,9,Save for children's education
482501,48,long,high,13.45144128,Not Feasible,13,Buy a car
158586,35,long,medium,9.744140368,Not Feasible,13,Save for children's education
393395,19,long,high,12.32091894,Not Feasible,11,Start a business
504178,12,medium,medium,8.553666907,Not Feasible,10,Buy home appliances
963772,10,short,high,12.29568433,Not Feasible,14,Go on a vacation
241496,32,medium,high,11.39026112,Not Feasible,10,Build an emergency fund
702148,8,long,medium,6.5974581,Not Feasible,14,Invest in a property
741109,34,short,low,3.776057416,Not Feasible,7,Pay off a small loan
726409,47,short,high,10.90233786,Not Feasible,10,Go on a vacation
858925,21,long,low,3.516171853,Not Feasible,7,Invest in a property
570315,38,long,high,13.46699064,Not Feasible,8,Build a retirement fund
889979,10,short,low,3.609341437,Not Feasible,7,Buy a laptop
183921,40,long,low,3.687566389,Not Feasible,10,Buy a car
896559,39,long,medium,6.062611102,Not Feasible,12,Invest in a property
683218,43,long,low,3.972962403,Not Feasible,10,Start a business
749522,43,long,high,12.98709694,Not Feasible,10,Start a business
613291,20,short,medium,7.66720274,Not Feasible,11,Purchase a smartphone
717755,6,short,medium,8.480443886,Not Feasible,12,Buy a laptop
574046,12,medium,medium,8.504935861,Not Feasible,7,Buy a motorcycle
326456,19,medium,low,4.076047812,Not Feasible,9,Buy home appliances
340814,31,short,low,2.421770526,Not Feasible,8,Purchase a smartphone
92279,20,medium,high,12.94496148,Not Feasible,14,Save for higher education
25434,5,long,high,13.49389944,Not Feasible,9,Save for a house down payment
729407,14,long,high,13.04182319,Not Feasible,9,Build a retirement fund
450991,11,short,high,10.96453533,Not Feasible,11,Go on a vacation
347913,14,medium,high,10.11921293,Not Feasible,9,Buy a motorcycle
780042,16,long,medium,8.042493601,Not Feasible,14,Start a business
338821,21,medium,low,2.661384981,Not Feasible,8,Take a professional certification course
93555,49,short,medium,9.138084657,Not Feasible,14,Go on a vacation
662667,16,short,low,4.806159685,Not Feasible,8,Go on a vacation
751280,19,medium,medium,9.19262534,Not Feasible,11,Save for higher education
773799,36,short,low,2.511501826,Not Feasible,14,Go on a vacation
186806,36,long,high,14.09232236,Not Feasible,9,Start a business
898097,30,long,medium,5.892583059,Not Feasible,7,Start a business
491719,18,medium,high,11.49080155,Not Feasible,7,Travel abroad for holiday
443819,30,medium,medium,9.141130927,Not Feasible,13,Buy home appliances
479924,9,short,medium,5.72630208,Not Feasible,14,Buy a laptop
78803,42,short,medium,5.939154242,Not Feasible,14,Go on a vacation
442548,8,medium,high,14.22547616,Not Feasible,13,Buy home appliances
888135,32,short,high,14.93579846,Not Feasible,10,Buy a laptop
817744,5,medium,medium,8.179280936,Not Feasible,10,Build an emergency fund
758736,17,medium,medium,8.086768592,Not Feasible,12,Save for higher education
487742,47,long,medium,7.70286775,Not Feasible,14,Start a business
709539,7,short,medium,6.222817765,Not Feasible,13,Buy fancy shoes
736802,29,medium,high,10.18896358,Not Feasible,9,Save for higher education
255404,46,long,low,3.350912748,Not Feasible,8,Start a business
652249,20,medium,low,4.540863542,Not Feasible,10,Buy home appliances
312523,25,short,medium,9.442806478,Not Feasible,10,Upgrade clothing
27297,17,long,medium,7.527936782,Not Feasible,12,Start a business
798443,48,short,low,4.819017596,Not Feasible,7,Pay off a small loan
519346,40,long,low,3.691544575,Not Feasible,10,Save for children's education
130234,12,short,medium,8.797332951,Not Feasible,7,Go on a vacation
578302,48,medium,medium,7.209566755,Not Feasible,7,Take a professional certification course
777454,23,medium,low,2.24641158,Not Feasible,14,Build an emergency fund
939242,20,medium,high,14.18892334,Not Feasible,13,Buy home appliances
890765,16,short,medium,9.715585208,Not Feasible,7,Go on a vacation
188570,24,long,low,4.170628926,Not Feasible,9,Build a retirement fund
793152,22,short,high,12.04489756,Not Feasible,14,Pay off a small loan
807552,16,medium,low,4.581049974,Not Feasible,12,Take a professional certification course
519733,29,short,medium,8.155014024,Not Feasible,7,Go on a vacation
936271,15,long,low,2.00834659,Not Feasible,12,Invest in a property
294996,26,medium,medium,9.676506751,Not Feasible,7,Take a professional certification course
351383,38,short,high,12.31467154,Not Feasible,9,Go on a vacation
404145,17,medium,high,10.87177078,Not Feasible,14,Travel abroad for holiday
742847,42,short,medium,5.915043542,Not Feasible,14,Buy fancy shoes
521603,16,short,medium,6.706075134,Not Feasible,10,Upgrade clothing
625863,43,medium,medium,5.212460477,Not Feasible,7,Buy a motorcycle
517365,40,long,high,11.52754576,Not Feasible,13,Save for a house down payment
629328,32,medium,low,2.273461189,Not Feasible,14,Build an emergency fund
158510,31,long,medium,6.00968462,Not Feasible,12,Save for a house down payment
189587,43,medium,high,10.09022809,Not Feasible,7,Travel abroad for holiday
540032,17,medium,high,13.40504073,Not Feasible,12,Build an emergency fund
749180,47,medium,low,3.726773423,Not Feasible,14,Buy a motorcycle
445633,44,short,medium,5.460836268,Not Feasible,7,Buy a laptop
934573,31,short,low,4.326169063,Not Feasible,9,Upgrade clothing
838791,35,long,medium,8.440259446,Not Feasible,12,Build a retirement fund
685159,6,medium,medium,5.771996939,Not Feasible,13,Buy a motorcycle
